ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
43,1.170997283,5.609397345,0.005,0.995,0.021005892,5,0.4,-46.8385566834171,-2.5750914
43,1.170997283,5.609397345,0.005,0.995,0.021005892,5,0.5,-47.8762440201005,-2.6645021
44,1.143191948,9.896273598,0.005,0.995,0.021505821,5,0.1,-24.2531695477387,-0.650299799999998
44,1.143191948,9.896273598,0.005,0.995,0.021505821,5,0.2,-36.1277875376884,-1.04655180000001
44,1.143191948,9.896273598,0.005,0.995,0.021505821,5,0.3,-42.171668241206,-1.2788457
44,1.143191948,9.896273598,0.005,0.995,0.021505821,5,0.4,-46.515551959799,-1.51182879999999
44,1.143191948,9.896273598,0.005,0.995,0.021505821,5,0.5,-47.517732160804,-1.5700626
45,0.351050794,2.5380696,0.005,0.995,0.06679214,5,0.1,-49.5796426130653,-2.0013277
45,0.351050794,2.5380696,0.005,0.995,0.06679214,5,0.2,-65.3978811055276,-3.0310974
45,0.351050794,2.5380696,0.005,0.995,0.06679214,5,0.3,-72.8169209045226,-3.6268316
45,0.351050794,2.5380696,0.005,0.995,0.06679214,5,0.4,-79.0417246231156,-4.2434675
45,0.351050794,2.5380696,0.005,0.995,0.06679214,5,0.5,-81.0518376884422,-4.4206298
46,0.036976154,8.493030352,0.005,0.995,0.404587876,5,0.1,-86.8727507537688,-0.723992099999993
46,0.036976154,8.493030352,0.005,0.995,0.404587876,5,0.2,-92.6227106532663,-1.31685070000001
46,0.036976154,8.493030352,0.005,0.995,0.404587876,5,0.3,-93.2678384924623,-1.80110330000001
46,0.036976154,8.493030352,0.005,0.995,0.404587876,5,0.4,-95.4808298492462,-2.4435374
46,0.036976154,8.493030352,0.005,0.995,0.404587876,5,0.5,-94.5749475376884,-2.7803333
47,1.88858676,8.164051448,0.005,0.995,0.01312926,5,0.1,-17.7619404020101,-1.18519850000001
47,1.88858676,8.164051448,0.005,0.995,0.01312926,5,0.2,-27.9573886432161,-2.24399059999999
47,1.88858676,8.164051448,0.005,0.995,0.01312926,5,0.3,-33.2552130653266,-2.7596128
47,1.88858676,8.164051448,0.005,0.995,0.01312926,5,0.4,-37.1806291457286,-3.33964999999999
47,1.88858676,8.164051448,0.005,0.995,0.01312926,5,0.5,-38.1466194974874,-3.5262614
48,0.802663059,5.596441468,0.005,0.995,0.030352708,5,0.1,-30.6699151758794,-1.0638576
48,0.802663059,5.596441468,0.005,0.995,0.030352708,5,0.2,-44.119147839196,-1.67140179999999
48,0.802663059,5.596441468,0.005,0.995,0.030352708,5,0.3,-50.763276080402,-1.9976689
48,0.802663059,5.596441468,0.005,0.995,0.030352708,5,0.4,-55.6104068341709,-2.28753599999999
48,0.802663059,5.596441468,0.005,0.995,0.030352708,5,0.5,-56.7093593969849,-2.32479800000001
49,2.448748165,5.471462036,0.005,0.995,0.01015639,5,0.1,-16.7962567839196,-3.3434946
49,2.448748165,5.471462036,0.005,0.995,0.01015639,5,0.2,-26.1493852261307,-4.7651035
49,2.448748165,5.471462036,0.005,0.995,0.01015639,5,0.3,-31.0614298492462,-5.4363923
49,2.448748165,5.471462036,0.005,0.995,0.01015639,5,0.4,-34.8471567839196,-6.243659
49,2.448748165,5.471462036,0.005,0.995,0.01015639,5,0.5,-35.8939667336683,-6.540629
50,0.555616462,3.688002659,0.005,0.995,0.043264693,5,0.1,-38.4123359798995,-1.493315
50,0.555616462,3.688002659,0.005,0.995,0.043264693,5,0.2,-53.2274508542714,-2.29783579999999
50,0.555616462,3.688002659,0.005,0.995,0.043264693,5,0.3,-60.3374341708543,-2.73279430000001
50,0.555616462,3.688002659,0.005,0.995,0.043264693,5,0.4,-65.7116658291457,-3.1305061
50,0.555616462,3.688002659,0.005,0.995,0.043264693,5,0.5,-67.0044006030151,-3.18693029999999
51,0.849127858,7.556313476,0.005,0.995,0.028739523,5,0.1,-29.4113026130653,-0.801231899999999
51,0.849127858,7.556313476,0.005,0.995,0.028739523,5,0.2,-42.5521070351759,-1.2665378
51,0.849127858,7.556313476,0.005,0.995,0.028739523,5,0.3,-49.0690591959799,-1.5131329
51,0.849127858,7.556313476,0.005,0.995,0.028739523,5,0.4,-53.8021494472362,-1.74234210000001
51,0.849127858,7.556313476,0.005,0.995,0.028739523,5,0.5,-54.8670363819095,-1.7669978
52,1.307919768,7.560128087,0.005,0.995,0.018848291,5,0.1,-22.4073452261306,-0.869330800000001
52,1.307919768,7.560128087,0.005,0.995,0.018848291,5,0.2,-33.8349598994975,-1.4387193
52,1.307919768,7.560128087,0.005,0.995,0.018848291,5,0.3,-39.7379171859296,-1.8001118
52,1.307919768,7.560128087,0.005,0.995,0.018848291,5,0.4,-43.9765885427136,-2.12964919999999
52,1.307919768,7.560128087,0.005,0.995,0.018848291,5,0.5,-44.9836888442211,-2.2275991
53,1.880196167,2.089147456,0.005,0.995,0.013187079,5,0.1,-20.0783418090452,-3.5122935
53,1.880196167,2.089147456,0.005,0.995,0.013187079,5,0.2,-31.4723932663317,-5.89827350000001
53,1.880196167,2.089147456,0.005,0.995,0.013187079,5,0.3,-37.5150670351759,-7.1990478
53,1.880196167,2.089147456,0.005,0.995,0.013187079,5,0.4,-41.74818040201,-8.05955159999999
53,1.880196167,2.089147456,0.005,0.995,0.013187079,5,0.5,-42.8632487437186,-8.2706563
54,1.159178523,0.168477391,0.005,0.995,0.02121552,5,0.1,-54.4191954773869,-33.8487013
54,1.159178523,0.168477391,0.005,0.995,0.02121552,5,0.2,-72.035036080402,-43.5097003
54,1.159178523,0.168477391,0.005,0.995,0.02121552,5,0.3,-75.2743312562814,-40.7079754
54,1.159178523,0.168477391,0.005,0.995,0.02121552,5,0.4,-75.6600988944724,-36.275462
54,1.159178523,0.168477391,0.005,0.995,0.02121552,5,0.5,-72.6114781909548,-30.9195575
55,0.31924001,5.75724866,0.005,0.995,0.072962065,5,0.1,-51.2335659296483,-0.900257400000004
55,0.31924001,5.75724866,0.005,0.995,0.072962065,5,0.2,-66.9448422110553,-1.3810875
55,0.31924001,5.75724866,0.005,0.995,0.072962065,5,0.3,-74.2850765829146,-1.64326229999999
